textID,text,sentiment
cb774db0d1,"['would', 'respond', 'go']",neutral
549e992a42,"['sooo', 'sad', 'miss', 'san', 'diego']",negative
088c60f138,"['boss', 'bully']",negative
9642c003ef,"['interview', 'leave', 'alone']",negative
358bd9e861,"['son', 'could', 'not', 'put', 'release', 'already', 'buy']",negative
28b57f3990,"['www', 'dothebouncy', 'smf', 'shameless', 'plug', 'best', 'ranger', 'forum', 'earth']",neutral
6e0c6d75b1,"['2am', 'feeding', 'baby', 'fun', 'smile', 'coo']",positive
50e14c0bb8,"['soooo', 'high']",neutral
e050245fbd,[],neutral
fc2cbefa9d,"['journey', 'wow', 'become', 'cool', 'hehe', 'possible']",positive
2339a9b08b,"['much', 'love', 'hopeful', 'reckon', 'chance', 'minimal', 'never', 'gon', 'na', 'get', 'cake', 'stuff']",neutral
16fab9f95b,"['really', 'really', 'like', 'song', 'love', 'story', 'taylor', 'swift']",positive
74a76f6e0a,"['sharpie', 'run', 'dangerously', 'low', 'ink']",negative
04dd1d2e34,"['want', 'go', 'music', 'tonight', 'lose', 'voice']",negative
bbe3cbf620,"['test', 'test', 'lg', 'env2']",neutral
8a939bfb59,"['uh', 'oh', 'sunburn']",negative
3440297f8b,"['sok', 'try', 'plot', 'alternative', 'speak', 'sigh']",negative
919fa93391,"['sick', 'past', 'day', 'thus', 'hair', 'look', 'wierd', 'didnt', 'hat', 'would', 'look', 'tinyurl', 'mnf4kw']",negative
af3fed7fc3,"['back', 'home', 'gon', 'na', 'miss', 'every']",negative
40e7becabf,"['he', 'not']",neutral
04d17ef61e,"['oh', 'marly', 'sorry', 'hope', 'find', 'soon']",neutral
e48b0b8a23,"['play', 'ghost', 'online', 'really', 'interesting', 'new', 'update', 'kirin', 'pet', 'metamorph', 'third', 'job', 'not', 'wait', 'dragon', 'pet']",positive
7de057cf40,"['clean', 'house', 'family', 'ming', 'later', 'today']",neutral
9ce5570064,"['get', 'ta', 'restart', 'puter', 'think', 'win7', 'suppose', 'put', 'end', 'constant', 'rebootiness']",neutral
0c8cc71c46,"['see', 'wat', 'mean', 'bout', 'foll0w', 'friidays', 'call', 'lose', 'f0llowers', 'friday', 'smh']",neutral
e00c6ef376,"['free', 'fillin', 'app', 'ipod', 'fun', 'im', 'addict']",positive
852edc3769,['sorry'],negative
bdc32ea43c,"['way', 'malaysia', 'no', 'internet', 'access', 'twit']",negative
6ce4a4954b,"['juss', 'come', 'backk', 'berkeleyy', 'omg', 'madd', 'fun', 'havent', 'minute', 'whassqoodd']",positive
d22e6d40a7,"['go', 'sleep', 'power', 'cut', 'noida', 'power', 'back', 'not', 'work']",negative
d33f811375,"['go', 'home', 'see', 'new', 'twitter', 'design', 'quite', 'heavenly', 'isn']",positive
7d8c4c11e4,"['hope', 'unni', 'make', 'audition', 'fight', 'dahye', 'unni']",positive
1c31703aef,"['consolation', 'get', 'bmi', 'test', 'hahaha', 'say', 'obesed', 'well', 'much', 'unhappy', 'minute']",negative
2dc51711bc,"['funny', 'cute', 'kid']",positive
