textID,text,sentiment
cb774db0d1,"['i', '`', 'd', 'have', 'responded', 'if', 'i', 'were', 'going']",neutral
549e992a42,"['sooo', 'sad', 'i', 'will', 'miss', 'you', 'here', 'in', 'san', 'diego']",negative
088c60f138,"['my', 'boss', 'is', 'bullying', 'me']",negative
9642c003ef,"['what', 'interview', 'leave', 'me', 'alone']",negative
358bd9e861,"['sons', 'of', 'why', 'couldn', '`', 't', 'they', 'put', 'them', 'on', 'the', 'releases', 'we', 'already', 'bought']",negative
28b57f3990,"['www', 'dothebouncy', 'smf', 'some', 'shameless', 'plugging', 'for', 'the', 'best', 'rangers', 'forum', 'on', 'earth']",neutral
6e0c6d75b1,"['2am', 'feedings', 'for', 'the', 'baby', 'are', 'fun', 'when', 'he', 'is', 'all', 'smiles', 'and', 'coos']",positive
50e14c0bb8,"['soooo', 'high']",neutral
e050245fbd,"['both', 'of', 'you']",neutral
fc2cbefa9d,"['journey', 'wow', 'u', 'just', 'became', 'cooler', 'hehe', 'is', 'that', 'possible']",positive
2339a9b08b,"['as', 'much', 'as', 'i', 'love', 'to', 'be', 'hopeful', 'i', 'reckon', 'the', 'chances', 'are', 'minimal', 'p', 'i', '`', 'm', 'never', 'gon', 'na', 'get', 'my', 'cake', 'and', 'stuff']",neutral
16fab9f95b,"['i', 'really', 'really', 'like', 'the', 'song', 'love', 'story', 'by', 'taylor', 'swift']",positive
74a76f6e0a,"['my', 'sharpie', 'is', 'running', 'dangerously', 'low', 'on', 'ink']",negative
04dd1d2e34,"['i', 'want', 'to', 'go', 'to', 'music', 'tonight', 'but', 'i', 'lost', 'my', 'voice']",negative
bbe3cbf620,"['test', 'test', 'from', 'the', 'lg', 'env2']",neutral
8a939bfb59,"['uh', 'oh', 'i', 'am', 'sunburned']",negative
3440297f8b,"['s', '`', 'ok', 'trying', 'to', 'plot', 'alternatives', 'as', 'we', 'speak', 'sigh']",negative
919fa93391,"['i', '`', 've', 'been', 'sick', 'for', 'the', 'past', 'few', 'days', 'and', 'thus', 'my', 'hair', 'looks', 'wierd', 'if', 'i', 'didnt', 'have', 'a', 'hat', 'on', 'it', 'would', 'look', 'tinyurl', 'mnf4kw']",negative
af3fed7fc3,"['is', 'back', 'home', 'now', 'gon', 'na', 'miss', 'every', 'one']",negative
40e7becabf,"['hes', 'just', 'not', 'that', 'into', 'you']",neutral
04d17ef61e,"['oh', 'marly', 'i', '`', 'm', 'so', 'sorry', 'i', 'hope', 'you', 'find', 'her', 'soon', '3', '3']",neutral
e48b0b8a23,"['playing', 'ghost', 'online', 'is', 'really', 'interesting', 'the', 'new', 'updates', 'are', 'kirin', 'pet', 'and', 'metamorph', 'for', 'third', 'job', 'can', '`', 't', 'wait', 'to', 'have', 'a', 'dragon', 'pet']",positive
7de057cf40,"['is', 'cleaning', 'the', 'house', 'for', 'her', 'family', 'who', 'is', 'ming', 'later', 'today']",neutral
9ce5570064,"['got', 'ta', 'restart', 'my', 'puter', 'i', 'thought', 'win7', 'was', 'supposed', 'to', 'put', 'an', 'end', 'to', 'the', 'constant', 'rebootiness']",neutral
0c8cc71c46,"['see', 'wat', 'i', 'mean', 'bout', 'foll0w', 'friidays', 'it', '`', 's', 'called', 'lose', 'f0llowers', 'friday', 'smh']",neutral
e00c6ef376,"['the', 'free', 'fillin', '`', 'app', 'on', 'my', 'ipod', 'is', 'fun', 'im', 'addicted']",positive
852edc3769,"['i', '`', 'm', 'sorry']",negative
bdc32ea43c,"['on', 'the', 'way', 'to', 'malaysia', 'no', 'internet', 'access', 'to', 'twit']",negative
6ce4a4954b,"['juss', 'came', 'backk', 'from', 'berkeleyy', 'omg', 'its', 'madd', 'fun', 'out', 'there', 'havent', 'been', 'out', 'there', 'in', 'a', 'minute', 'whassqoodd']",positive
d22e6d40a7,"['went', 'to', 'sleep', 'and', 'there', 'is', 'a', 'power', 'cut', 'in', 'noida', 'power', 'back', 'up', 'not', 'working', 'too']",negative
d33f811375,"['i', '`', 'm', 'going', 'home', 'now', 'have', 'you', 'seen', 'my', 'new', 'twitter', 'design', 'quite', 'heavenly', 'isn', '`']",positive
7d8c4c11e4,"['i', 'hope', 'unni', 'will', 'make', 'the', 'audition', 'fighting', 'dahye', 'unni']",positive
1c31703aef,"['if', 'it', 'is', 'any', 'consolation', 'i', 'got', 'my', 'bmi', 'tested', 'hahaha', 'it', 'says', 'i', 'am', 'obesed', 'well', 'so', 'much', 'for', 'being', 'unhappy', 'for', 'about', '10', 'minutes']",negative
2dc51711bc,"['that', '`', 's', 'very', 'funny', 'cute', 'kids']",positive
d21ab5855b,"['ahhh', 'i', 'slept', 'through', 'the', 'game', 'i', '`', 'm', 'gon', 'na', 'try', 'my', 'best', 'to', 'watch', 'tomorrow', 'though', 'i', 'hope', 'we', 'play', 'army']",neutral
4f5267ad70,"['thats', 'it', 'its', 'the', 'end', 'tears', 'for', 'fears', 'vs', 'eric', 'prydz', 'dj', 'hero', 'bit', 'ly', '2hpbg4']",neutral
