textID,text,sentiment
cb774db0d1,would respond go,neutral
549e992a42,soo sad miss san diego,negative
088c60f138,boss bully,negative
9642c003ef,interview leave alone,negative
358bd9e861,son could not put release already buy,negative
28b57f3990,//ww dothebouncy /smf shameless plug best ranger forum earth,neutral
6e0c6d75b1,feeding baby fun smile coo,positive
50e14c0bb8,soo high,neutral
e050245fbd,,neutral
fc2cbefa9d,journey wow become cool hehe possible,positive
2339a9b08b,much love hopeful reckon chance mini amal never gon get cake stuff,neutral
16fab9f95b,really really like song love story taylor swift,positive
74a76f6e0a,sharpie run dangerously low ink,negative
04dd1d2e34,want music tonight lose voice,negative
bbe3cbf620,test test env,neutral
8a939bfb59,sunburn,negative
3440297f8b,s/ok try plot alternati have speak sigh,negative
919fa93391,sick past day thus hair look wierd not hat would look //tinyurl /mnfkw,negative
af3fed7fc3,back home gon miss every,negative
40e7becabf,not,neutral
04d17ef61e,marly sorry hope find soon,neutral
e48b0b8a23,play ghost online really interesting new update kirin pet metamorph third job not wait dragon pet,positive
7de057cf40,clean house family ming later today,neutral
9ce5570064,get restart puter think win suppose put end constant rebootiness,neutral
0c8cc71c46,see wat mean bout follw frii wouldays call lose fllowers fri woulday smh,neutral
e00c6ef376,free willin/ app ipod fun addict,positive
852edc3769,sorry,negative
bdc32ea43c,way malaysia internet access twit,negative
6ce4a4954b,juss come backk berkeleyy omg madd fun not minute whassqoodd,positive
d22e6d40a7,go sleep power cut noi woulda power back not work,negative
d33f811375,go home see new twitter design quite heavenly isn/,positive
7d8c4c11e4,hope unni make audition fight dahye unni,positive
1c31703aef,consolation get bmi test hahaha say obesed much unhappy minute,negative
2dc51711bc,funny cute woulds,positive
d21ab5855b,ahh slept game gon try best watch tomorrow though hope play army,neutral
4f5267ad70,end tear fear eric prydz hero //bit ly/hpbg,neutral
2724775d6b,born raise nyc living texas past year sti miss,negative
1cbc812ece,case wonder really busy today ing add ton new blog update stay tune,neutral
4b61dffbeb,soo sleepy last day school today sniffle,negative
2863f435bd,little happy wine jeje ism free ame care jaja love day,positive
d93afa85cf,car unhappy big big dent boot hop not go write cross finger wait,neutral
fab6b7d16c,avi would fan magazine love magazine,positive
2e7082d1c8,mayday,neutral
684081e4e7,ratt rock nashvi wille tonite thing suck encore like sti fun show pearcy hott bad boy look,neutral
c77717b103,love available dear would love help convert woulds ï¿½,positive
a9d499e123,girl hair salon ask shall tri eyebrow old feel,neutral
ddf296dffa,egh blah boo dunno wannago work hangover suckk drunk mess,negative
c3924dc9e4,visit friendster facebook,neutral
3d9d4b0b55,donbt like peel prawn not like go shop run money crawl round car look,negative
3fcea4debc,case get new last week not thri will mine,negative
a3ae670885,check //twittersucks connect tweeple hate twitter,neutral
15d5f3a41b,bored school third freelesson freistunde,neutral
3c4a21b2cb,guess,neutral
11084dac09,dissappointed past day,negative
d8ba2a99a9,romance zero funny,positive
e77fd45003,would rather early run morning runner,neutral
b159318d76,bah coworker run work late bag smack knee really hurt,negative
6086b1f016,back later //plurk /p/rpk,neutral
703afdc44b,torn ace heart hunchback,negative
90f3d2b572,fun speaking,neutral
52483f7da8,lose friend alone sleepy wannago home,negative
a4b0888da6,haha yes,neutral
2a9765b7f9,easily,negative
90a2cdb657,well way spoil mum let kick back relax nice meal bottle favorite wine wine red,positive
98f25bc596,mann get iphone jealous //bit ly/ngnar,negative
23e1f7dca4,photoshoot,neutral
95e12b1cb1,awesome work good friend,positive
c34feef039,yay play show tonight boo gon soggy work right play,neutral
fa2654e730,chi williin,positive
187494c25b,know agent let know,neutral
4213627c3c,sti smell smoke kitchenfire,neutral
a4e00d4d26,celtic lakers rematch sound well forget lol,positive
04e2e334de,anyone extra keane ticket promise buy drink take rad pic blog flickr etc,neutral
0c4aa867d0,woulde catch not summer til pop open,neutral
a6c61eac26,good gor juz yea kno ask yesterday tha hospital talk sai would,neutral
94bd67443c,popped say check thing probably head guttah later tonight,neutral
35f393a245,wow really missin fam ily today badd,negative
b2c9f115b1,source say,neutral
0a61cbf4b5,soo tire,negative
ee9ec7a5a4,hey change twitter account not even tell,neutral
bbbc46889b,thank yyoouu,positive
58d382e07a,lucky would wannasee loservi wille pity,positive
cb4d439ebc,fell asleep wait woulde,neutral
64ed512788,sick flu like thing,negative
4cd390c007,sti reply amfinger problem irape parody wouldeo get response sorry guy,negative
3d2fcd78c8,happy star war day everyone enjoy holi woulday,positive
0c0563423e,mile essex plenty warn arri ame get least free beer,neutral
cd0d522bb1,snore annoy keep sleep like right lol honestly wud miss eva leave love,neutral
bffa3ddd61,miss bby wish go tomorrow make good,negative
9339ee8e0b,work not quite ready post publicly sti beta test cool new script cod,positive
a76f9cf8ce,sweet san fran awesome love,positive
4ce121e2ad,mounce yes last way past bedti ame,neutral
a3de81e1ba,join twitter,neutral
55bacda5eb,wait sleep will kick gon tire work tomorrow,negative
b63ed6da62,eat ice cream get ready graduation,neutral
4c41a35a2a,happy mother day mum,positive
61a8e11e8a,casey/s go woulddled little carpet prolly freak cecause new get back,negative
447dc22c81,hemp cloth marvelous unfortunately,negative
3408db03a3,gon read story bout adam lambert online bed nighty night,neutral
92e1b6846e,saw none baddie/s best,positive
2207d982bc,beach pretty,positive
15e01e1749,certainly not cheer huh,neutral
ebcdf07ac5,week post myhorrible traumatic jumping cholla acci wouldent cholla/s next dirty trick piece start emerge hand ouch,negative
fd9fb4f1ad,realy want cecause nice everybodys busy,negative
6b018d3d2d,awesome ocean beach know way yourbiggestfan big fan,positive
327a009a7d,least get watch ame let pen,neutral
d0d3c6f298,cool wear black ame,neutral
40649553ef,haha ignore work blip apart obvious thanks reblipping song nice day,positive
561b44a42f,safe trip joshy poo knock dead speech,positive
a05aea73d7,woof wish allowe would,positive
9c4817f73b,friendster add email adress add loco cri ame add leave ment,neutral
f0c1601d8b,ticket,neutral
d421fbd332,thank afrin nasal spray get giant teacup tonight,positive
