textID,text,sentiment
cb774db0d1,would responded going,neutral
549e992a42,sooo sad wi miss san diego,negative
088c60f138,boss bullying,negative
9642c003ef,interview leave alone,negative
358bd9e861,sons * * * * could not put releases already bought,negative
28b57f3990,: //www dothebouncy /smf shameless plugging best rangers forum earth,neutral
6e0c6d75b1,feedings baby fun smiles coos,positive
50e14c0bb8,soooo high,neutral
e050245fbd,,neutral
fc2cbefa9d,journey wow u became cooler hehe possible,positive
2339a9b08b,much love hopeful reckon chances mini amal =p never gonna get cake stuff,neutral
16fab9f95b,really really like song love story taylor swift,positive
74a76f6e0a,sharpie running dangerously low ink,negative
04dd1d2e34,want go music tonight lost voice,negative
bbe3cbf620,test test lg env,neutral
8a939bfb59,uh oh sunburned,negative
3440297f8b,s/ok trying plot alternati haves speak * sigh *,negative
919fa93391,sick past days thus hair looks wierd not hat would look: //tinyurl /mnfkw,negative
af3fed7fc3,back home gonna miss every,negative
40e7becabf,not,neutral
04d17ef61e,oh marly sorry hope find soon <<,neutral
e48b0b8a23,playing ghost online really interesting new updates kirin pet metamorph third job not wait dragon pet,positive
7de057cf40,cleaning house family ming later today,neutral
9ce5570064,gotta restart puter thought win supposed put end constant rebootiness,neutral
0c8cc71c46,see wat mean bout follw frii wouldays called lose fllowers fri woulday smh,neutral
e00c6ef376,free fi willin/ app ipod fun addicted,positive
852edc3769,sorry,negative
bdc32ea43c,way malaysia no internet access twit,negative
6ce4a4954b,juss came backk berkeleyy; omg madd fun not minute whassqoodd,positive
d22e6d40a7,went sleep power cut noi woulda power back not working,negative
d33f811375,going home seen new twitter design quite heavenly isn/ * * * *,positive
7d8c4c11e4,hope unni wi make audition fighting dahye unni,positive
1c31703aef,consolation got bmi tested hahaha says obesed much unhappy minutes,negative
2dc51711bc,funny cute ki woulds,positive
d21ab5855b,ahhh slept game gonna try best watch tomorrow though hope play army,neutral
4f5267ad70,end tears fears vs eric prydz dj hero: //bit ly/hpbg,neutral
2724775d6b,born raised nyc living texas past years sti miss ny,negative
1cbc812ece,case wonder really busy today ing adding tons new blogs updates stay tuned,neutral
4b61dffbeb,soooooo sleeeeepy last day o/ school today sniffle,negative
2863f435bd,little happy wine jeje ok ism free ti ame cares jaja love day,positive
d93afa85cf,car unhappy big big dent boot hoping not going write crossing fingers waiting,neutral
fab6b7d16c,avi would fan * * * * magazine love magazines,positive
2e7082d1c8,mayday,neutral
684081e4e7,ratt rocked nashvi wille tonite thing sucked no encore like /s sti fun show pearcy hott bad boy look,neutral
c77717b103,love available pm dear would love help convert vi woulds ï¿½,positive
a9d499e123,girl hair salon asked shall tri eyebrows old feel,neutral
ddf296dffa,egh blah boooooooooooo dunno wannago work hangovers suckkkkkk drunk mess,negative
c3924dc9e4,: visiting friendster facebook,neutral
3d9d4b0b55,donbt like peel prawns not like going shopping running money crawling round car looking,negative
3fcea4debc,case got new last week not thri willed mine,negative
a3ae670885,check: //twittersucks connect tweeple hate twitter,neutral
15d5f3a41b,bored school third freelesson freistunde,neutral
3c4a21b2cb,hm us guess,neutral
11084dac09,* * * * u dissappointed past days,negative
d8ba2a99a9,romance zero funny,positive
e77fd45003,would rather early run morning runner,neutral
b159318d76,bah coworker ran work late bag smacked knee really hurts,negative
6086b1f016,wi back later: //plurk /p/rpk,neutral
703afdc44b,aw torn ace hearts #hunchback,negative
90f3d2b572,fun speaking,neutral
52483f7da8,lost friends alone sleepy wannago home,negative
a4b0888da6,haha yes,neutral
2a9765b7f9,gi easily,negative
90a2cdb657,better way spoil mum let kick back relax nice meal bottle favorite wine wine red,positive
98f25bc596,mannnn got iphone jealous: //bit ly/ngnar,negative
23e1f7dca4,photoshoot,neutral
95e12b1cb1,awesome worked hi good friend,positive
c34feef039,yay playing show tonight boo gonna soggy work right playing,neutral
fa2654e730,chi williin,positive
187494c25b,know agent let know,neutral
4213627c3c,sti smell smoke #kitchenfire,neutral
a4e00d4d26,celtics lakers rematch sounds better forget lol,positive
04e2e334de,anyone extra keane ticket promise buy drink take rad pics fb / blog / flickr etc,neutral
0c4aa867d0,ri woulde catch not summer til pop open,neutral
a6c61eac26,good gor juz yea kno asked yesterday tha hospital talked u sai would no,neutral
94bd67443c,ok popped say hi check things probably head guttah later tonight,neutral
35f393a245,wow really missin fam ily today baddd,negative
b2c9f115b1,sources say no,neutral
0a61cbf4b5,sooo tired,negative
ee9ec7a5a4,hey change twitter account not even tell,neutral
bbbc46889b,thank yyyyyyyyyoooooooooouuuuu,positive
58d382e07a,lucky ki would wannasee loservi wille pity oz,positive
cb4d439ebc,fell asleep waiting ri woulde,neutral
64ed512788,sick flu like thing,negative
4cd390c007,sti no reply si amfinger problem no irape parody vi wouldeo get response sorry guys,negative
3d2fcd78c8,happy star wars day everyone enjoy holi woulday uk,positive
0c0563423e,miles essex gi plenty warning arri ti ame get least free beers,neutral
cd0d522bb1,snoring annoying n keeps sleeping like right lol honestly wud miss eva left love hi,neutral
bffa3ddd61,miss bby wish going tomorrow make good,negative
9339ee8e0b,working not quite ready post publicly sti beta testing cool new script coded,positive
a76f9cf8ce,sweeeeet san fran awesome love,positive
4ce121e2ad,mounce yes lasts way past bedti ame,neutral
a3de81e1ba,hi * joined twitter *,neutral
55bacda5eb,waiting sleeping pi wills kick gonna tired work tomorrow,negative
b63ed6da62,eating ice cream getting ready graduation,neutral
4c41a35a2a,happy mothers day mums,positive
61a8e11e8a,casey/s gone pi woulddled little carpet prolly freaked cecause new get back,negative
447dc22c81,hemp cloth marvelous unfortunately no,negative
3408db03a3,gonna read story bout adam lambert online bed nighty night,neutral
92e1b6846e,saw none d baddie/s best,positive
2207d982bc,beach pretty,positive
