textID,text,sentiment
cb774db0d1,would responded going,neutral
549e992a42,soo sad miss san diego,negative
088c60f138,boss bullying,negative
9642c003ef,interview leave alone,negative
358bd9e861,sons could not put releases already bought,negative
28b57f3990,//ww dothebouncy /smf shameless plugging best rangers forum earth,neutral
6e0c6d75b1,feedings baby fun smiles coos,positive
50e14c0bb8,soo high,neutral
e050245fbd,,neutral
fc2cbefa9d,journey wow became cooler hehe possible,positive
2339a9b08b,much love hopeful reckon chances mini amal never gon get cake stuff,neutral
16fab9f95b,really really like song love story taylor swift,positive
74a76f6e0a,sharpie running dangerously low ink,negative
04dd1d2e34,want music tonight lost voice,negative
bbe3cbf620,test test env,neutral
8a939bfb59,sunburned,negative
3440297f8b,s/ok trying plot alternati haves speak sigh,negative
919fa93391,sick past days thus hair looks wierd not hat would look //tinyurl /mnfkw,negative
af3fed7fc3,back home gon miss every,negative
40e7becabf,not,neutral
04d17ef61e,marly sorry hope find soon,neutral
e48b0b8a23,playing ghost online really interesting new updates kirin pet metamorph third job not wait dragon pet,positive
7de057cf40,cleaning house family ming later today,neutral
9ce5570064,got restart puter thought win supposed put end constant rebootiness,neutral
0c8cc71c46,see wat mean bout follw frii wouldays called lose fllowers fri woulday smh,neutral
e00c6ef376,free willin/ app ipod fun addicted,positive
852edc3769,sorry,negative
bdc32ea43c,way malaysia internet access twit,negative
6ce4a4954b,juss came backk berkeleyy omg madd fun not minute whassqoodd,positive
d22e6d40a7,went sleep power cut noi woulda power back not working,negative
d33f811375,going home seen new twitter design quite heavenly isn/,positive
7d8c4c11e4,hope unni make audition fighting dahye unni,positive
1c31703aef,consolation got bmi tested hahaha says obesed much unhappy minutes,negative
2dc51711bc,funny cute woulds,positive
d21ab5855b,ahh slept game gon try best watch tomorrow though hope play army,neutral
4f5267ad70,end tears fears eric prydz hero //bit ly/hpbg,neutral
2724775d6b,born raised nyc living texas past years sti miss,negative
1cbc812ece,case wonder really busy today ing adding tons new blogs updates stay tuned,neutral
4b61dffbeb,soo sleepy last day school today sniffle,negative
2863f435bd,little happy wine jeje ism free ame cares jaja love day,positive
d93afa85cf,car unhappy big big dent boot hoping not going write crossing fingers waiting,neutral
fab6b7d16c,avi would fan magazine love magazines,positive
2e7082d1c8,mayday,neutral
684081e4e7,ratt rocked nashvi wille tonite thing sucked encore like sti fun show pearcy hott bad boy look,neutral
