textID,text,sentiment
cb774db0d1,i would have responded if i we are going,neutral
549e992a42,sooo sad i wi will miss you here in san diego,negative
088c60f138,my boss is bullying me,negative
9642c003ef,what interview leave me alone,negative
358bd9e861,sons of * * * * why could not they put them on the releases we already bought,negative
28b57f3990,: //www dothebouncy /smf some shameless plugging for the best rangers forum on earth,neutral
6e0c6d75b1,am feedings for the baby are fun when he is all smiles and coos,positive
50e14c0bb8,soooo high,neutral
e050245fbd,both of you,neutral
fc2cbefa9d,journey wow u just became cooler hehe is that possible,positive
2339a9b08b,as much as i love to be hopeful i reckon the chances are mini amal =p i am never gonna get my cake and stuff,neutral
16fab9f95b,i really really like the song love story by taylor swift,positive
74a76f6e0a,my sharpie is running dangerously low on ink,negative
04dd1d2e34,i want to go to music tonight but i lost my voice,negative
bbe3cbf620,test test from the lg env,neutral
8a939bfb59,uh oh i am sunburned,negative
3440297f8b,s/ok trying to plot alternati haves as we speak * sigh *,negative
919fa93391,i have been sick for the past few days and thus my hair looks wierd if i did not have a hat on it would look: //tinyurl /mnfkw,negative
af3fed7fc3,is back home now gonna miss every one,negative
40e7becabf,he is just not that into you,neutral
04d17ef61e,oh marly i am so sorry i hope you find her soon <<,neutral
e48b0b8a23,playing ghost online is really interesting the new updates are kirin pet and metamorph for third job cannot wait to have a dragon pet,positive
7de057cf40,is cleaning the house for her family who is ming later today,neutral
9ce5570064,gotta restart my puter i thought win was supposed to put an end to the constant rebootiness,neutral
0c8cc71c46,see wat i mean bout follw frii wouldays it is called lose fllowers fri woulday smh,neutral
e00c6ef376,the free fi willin/ app on my ipod is fun i am addicted,positive
852edc3769,i am sorry,negative
bdc32ea43c,on the way to malaysia no internet access to twit,negative
6ce4a4954b,juss came backk from berkeleyy; omg it is madd fun out there have differ out there in a minute whassqoodd,positive
d22e6d40a7,went to sleep and there is a power cut in noi woulda power back up not working too,negative
d33f811375,i am going home now have you seen my new twitter design quite heavenly isn/ * * * *,positive
7d8c4c11e4,i hope unni wi will make the audition fighting dahye unni,positive
1c31703aef,if it is any consolation i got my bmi tested hahaha it says i am obesed we will so much for being unhappy for about minutes,negative
2dc51711bc,that is very funny cute ki woulds,positive
d21ab5855b,ahhh i slept through the game i am gonna try my best to watch tomorrow though i hope we play army,neutral
4f5267ad70,that is it it is the end tears for fears vs eric prydz dj hero: //bit ly/hpbg,neutral
2724775d6b,born and raised in nyc and living in texas for the past years i sti will miss ny,negative
1cbc812ece,just in case you wonder we are really busy today and this ing with with adding tons of new blogs and updates stay tuned,neutral
4b61dffbeb,i am soooooo sleeeeepy the last day o/ school was today sniffle,negative
2863f435bd,a little happy for the wine jeje ok it ism my free ti ame so who cares jaja i love this day,positive
d93afa85cf,car unhappy big big dent in boot hoping they are not going to write it off crossing fingers and waiting,neutral
fab6b7d16c,i am an avi would fan of * * * * magazine and i love your magazines,positive
2e7082d1c8,mayday,neutral
684081e4e7,ratt rocked nashvi wille tonite one thing sucked no encore like in the /s they sti will have a fun show pearcy has that hott bad boy look,neutral
c77717b103,i love to but i am only available from pm and where dear would love to help convert her vi woulds ï¿½,positive
a9d499e123,the girl in the hair salon asked me shall i tri am your eyebrows how old do i feel,neutral
ddf296dffa,egh blah and boooooooooooo i dunno wannago to work hangovers suckkkkkk i am a drunk mess,negative
c3924dc9e4,: visiting my friendster and facebook,neutral
3d9d4b0b55,i donbt like to peel prawns i also do not like going shopping running out of money and crawling round the car looking for more,negative
3fcea4debc,which case i got a new one last week and i am not thri willed at all with mine,negative
a3ae670885,then you should check out: //twittersucks and connect with other tweeple who hate twitter,neutral
15d5f3a41b,also bored at school it is my third freelesson freistunde,neutral
3c4a21b2cb,hm both of us i guess,neutral
11084dac09,it is * * * * u have dissappointed me that past few days,negative
d8ba2a99a9,romance zero is funny,positive
e77fd45003,i would rather do the early run but i am a morning runner,neutral
b159318d76,bah a coworker ran into work late and her bag smacked into my knee it really hurts now,negative
6086b1f016,wi will be back later: //plurk /p/rpk,neutral
703afdc44b,aw torn ace of hearts #hunchback,negative
