textID,text,sentiment
cb774db0d1,i/d have responded were going,neutral
549e992a42,soo sad will miss you here san diego,negative
088c60f138,boss bullying,negative
9642c003ef,what interview leave alone,negative
358bd9e861,sons why couldn/t they put them the releases already bought,negative
28b57f3990,//ww dothebouncy /smf some shameless plugging for the best rangers forum earth,neutral
6e0c6d75b1,feedings for the baby are fun when all smiles and coos,positive
50e14c0bb8,soo high,neutral
e050245fbd,both you,neutral
fc2cbefa9d,journey wow just became cooler hehe that possible,positive
2339a9b08b,much love hopeful reckon the chances are minimal i/m never gon get cake and stuff,neutral
16fab9f95b,really really like the song love story taylor swift,positive
74a76f6e0a,sharpie running dangerously low ink,negative
04dd1d2e34,want music tonight but lost voice,negative
bbe3cbf620,test test from the env,neutral
8a939bfb59,sunburned,negative
3440297f8b,s/ok trying plot alternatives speak sigh,negative
919fa93391,i/ve been sick for the past few days and thus hair looks wierd didnt have hat would look //tinyurl /mnfkw,negative
af3fed7fc3,back home now gon miss every one,negative
40e7becabf,hes just not that into you,neutral
04d17ef61e,marly i/m sorry hope you find her soon,neutral
e48b0b8a23,playing ghost online really interesting the new updates are kirin pet and metamorph for third job can/t wait have dragon pet,positive
7de057cf40,cleaning the house for her family who ming later today,neutral
9ce5570064,got restart puter thought win was supposed put end the constant rebootiness,neutral
0c8cc71c46,see wat mean bout follw friidays it/s called lose fllowers friday smh,neutral
e00c6ef376,the free fillin/ app ipod fun addicted,positive
852edc3769,i/m sorry,negative
bdc32ea43c,the way malaysia internet access twit,negative
6ce4a4954b,juss came backk from berkeleyy omg its madd fun out there havent been out there minute whassqoodd,positive
d22e6d40a7,went sleep and there power cut noida power back not working too,negative
d33f811375,i/m going home now have you seen new twitter design quite heavenly isn/,positive
7d8c4c11e4,hope unni will make the audition fighting dahye unni,positive
1c31703aef,any consolation got bmi tested hahaha says obesed well much for being unhappy for about minutes,negative
2dc51711bc,that/s very funny cute kids,positive
d21ab5855b,ahh slept through the game i/m gon try best watch tomorrow though hope play army,neutral
4f5267ad70,thats its the end tears for fears eric prydz hero //bit ly/hpbg,neutral
2724775d6b,born and raised nyc and living texas for the past years still miss,negative
